material;group;reference_density_kgm3;weight_kg;volume_exact_m3;measured_density_kgm3;mean_grayvalue_01;height_m;radius_m;l1_m;l2_m;l3_m;volume_ideal_m3
air;0;1.3;8.26E-08;6.35E-08;1.3;0.026784436025355;0.00508848;0.00196619;;;;6.180033520018E-08
pp;1;910;0.007779;8.49E-06;916.204775712977;0.034164739635951;0.01487133;0.01295308;;;;7.83872939487551E-06
hmpe;1;930;0.046023;4.94E-05;931.059933458084;0.033877001770608;0.0148658;0.03018793;;;;4.25603237687283E-05
pe;1;940;0.008103;8.53E-06;950.253279204977;0.034209836916143;;;0.01661253;0.03374898;0.01498758;8.40287552477019E-06
water;2;999.8;6.35E-05;6.35E-08;999.815739924433;0.035624026741729;0.00508848;0.00196619;;;;6.180033520018E-08
pa6;1;1150;0.013137;1.14E-05;1157.15363196344;0.035771134771297;0.01367148;0.01549595;;;;1.0313397852637E-05
pc;1;1200;0.001768;1.51E-06;1169.87331390272;0.035705715046382;;;0.01336029;0.00371022;0.01647903;8.1685922526806E-07
pvc;;1300;0.0078;5.36E-06;1456.41897290066;0.048084036684312;0.01477604;0.01017019;;;;4.80137750836379E-06
lowdens;2;1254.0907310872;6.80E-04;6.35E-08;1254.0907310872;0.039906094438009;0.00508848;0.00196619;;;;6.180033520018E-08
peek;1;1320;0.00696;5.39E-06;1291.48941643211;0.036409200540975;0.01648993;0.01016986;;;;5.35795627105985E-06
highdens;2;1485.43046483258;9.79E-05;6.59E-08;1485.43046483258;0.047240468831159;0.00507062;0.00196619;;;;6.158343744432E-08
ptfe;1;2200;0.008724;3.95E-06;2209.07737341612;0.04396334089822;0.01199369;0.01033546;;;;4.02496603676128E-06
femur;;;0.005271;4.88E-06;1079.70865687295;0.037198620691023;;;;;;
